timestamp,tweet_text,username,all_hashtags,followers_count
2021-03-11 09:21:33,b'A 3:13AM SpaceX launch? No problem! #SpaceX https://t.co/PxsJneUoTW',b'FLsunshine4me2',['SpaceX'],58
2021-03-11 09:20:25,"b'...and there we go, we have deployment of 60 more Starlink V1 satellites!  #starship #spacex https://t.co/2FznkoVRoY'",b'TLPN_Official',"['starship', 'spacex']",161
2021-03-11 09:20:06,"b""Payload deploy! This concludes coverage of today's Starlink launch. #SpaceX #Starlink https://t.co/05mk6T7SF5""",b'WeAreSpaceScout',"['SpaceX', 'Starlink']",578
2021-03-11 09:19:44,b'And payload deployed! Great mission you guys! Ly @whoisheartbreak again! #SpaceX #Space #Falcon9 #Starlink',b'honilock',"['SpaceX', 'Space', 'Falcon9', 'Starlink']",1
2021-03-11 09:19:15,b'And there they go! Another batch of sats in orbit.  Mission success! \xf0\x9f\x8e\x89 #SpaceX #Falcon9 #Starlink',b'TylerG1998',"['SpaceX', 'Falcon9', 'Starlink']",4406
2021-03-11 09:18:33,b'Back one more time for #Starlink deployment.  #Falcon9 Stage 2 reorienting to the deploy position for spacecraft sep (coming up shortly). #SpaceX',b'TylerG1998',"['Starlink', 'Falcon9', 'SpaceX']",4406
2021-03-11 09:17:59,b'I envision the day that 1 Robot pays another Robot w/ #Bitcoin  #BTC &amp; #cryptocurrencies .... But  on Planet Mars \xf0\x9f\xaa\x90   What say you?   @elonmusk  ??  #SpaceX https://t.co/UMP3CtRxPD',b'Syclops420',"['Bitcoin', 'BTC', 'cryptocurrencies', 'SpaceX']",44
2021-03-11 09:17:58,b'Liftoff!   SpaceX launches another 60 Starlink internet satellites and wraps up Starlink 20 with a successful first stage booster landing on Of Course I Still Love You. (Photos @dustinthenow) #SpaceX #Starlink #Starlink20 #launch https://t.co/6BwetDrowR',b'nss',"['SpaceX', 'Starlink', 'Starlink20', 'launch']",18582
2021-03-11 09:17:17,b'The Pentagon signs two contracts with SpaceX for 159 million dollars #SpaceX via https://t.co/wBQ2RRpkEq https://t.co/EyFp9Wwf7t',b'GowriShankr_GS',['SpaceX'],295
2021-03-11 09:13:07,b'@SpaceX @elonmusk Was this you\xf0\x9f\x8c\x9a\xf0\x9f\x8c\x9b\xf0\x9f\x8c\x9d #SpaceX #ElonMusk #Dogecoin #doge \xf0\x9f\x98\x8e https://t.co/vMr4snXMHw',b'credipediarocks',"['SpaceX', 'ElonMusk', 'Dogecoin', 'doge']",38
2021-03-11 09:10:57,"b'Good morning from #Florida\xe2\x80\x99s #SpaceCoast! #SpaceX launched another 60 #Starlink satellites at 3:13 a.m. on March 11 and #Falcon9 first stage #B1058 made its 6th launch and landing, this is the fourth rocket to fly six times!/tc. @SpaceflightIns https://t.co/IfaxDmo5wW'",b'theresacross_',"['Florida', 'SpaceCoast', 'SpaceX', 'Starlink', 'Falcon9', 'B1058']",607
2021-03-11 09:09:39,b'APP UPDATE AVAILABLE #SpaceX https://t.co/VAv8iqLCPk https://t.co/cAbWycVAVH',b'SpaceXMR',['SpaceX'],3222
2021-03-11 09:08:44,b'WOW! Im so excited to be living during this time!  #thefutureisnow #starship #spacex #mars https://t.co/SU8hGT4OgG',b'TLPN_Official',"['thefutureisnow', 'starship', 'spacex', 'mars']",161
2021-03-11 09:07:23,"b""The entire worlds payload capacity to space over an entire year = capacity of a single Starship in 1 day.  This is why I've been raving on about Starship for years now. It changes things in ways we cant even understand yet. #SpaceX #Starship #Tech https://t.co/CqPeef0bVD""",b'Alex_ADEdge',"['SpaceX', 'Starship', 'Tech']",1631
2021-03-11 09:05:13,"b'A bit washed out, but it\xe2\x80\x99s a start! #SpaceX #Falcon9 #B1058 #Starlink20 https://t.co/UPINErIDUw'",b'the_space_nut',"['SpaceX', 'Falcon9', 'B1058', 'Starlink20']",215
2021-03-11 09:02:44,b'Trails #Starlink L-20 #SpaceX #Falcon9  \xf0\x9f\x93\xb8 me for @Space_Explored https://t.co/wb2kwtNWER',b'baserunner0723',"['Starlink', 'SpaceX', 'Falcon9']",1098
2021-03-11 09:02:25,b'Eat some chocolate and get your brain prepared for riddles  by Tecra \xf0\x9f\x8d\xab\xf0\x9f\xa7\xa0 See the last tweet\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87 #Tecra #Space #DeFi #ElonMusk #SpaceX #CryptoNews #riddle #TCR #BTC',b'TecraCoin',"['Tecra', 'Space', 'DeFi', 'ElonMusk', 'SpaceX', 'CryptoNews', 'riddle', 'TCR', 'BTC']",5533
